runtime,model,display_name,prompt_id,prompt_name,score,verdict,generated_by,failure_reason,wall_time_seconds,observed_input_units,observed_output_units,observed_total_units,estimated_input_tokens,estimated_output_tokens,estimated_total_tokens,estimated_api_cost_usd,cost_type,price_input_usd_per_1m,price_output_usd_per_1m,pricing_source,request_fit,agentlas_team_structure,dynamic_tools_credentials,context_engineering,workflow_hooks_handoffs,runnable_installability,governance_safety,observability_cost,red_flags
agentlas_claude,claude-sonnet-4-6,Claude Code / Sonnet 4.6,P02,P02_AML_FRAUD_INVESTIGATION_AGENT,95,Production-grade agent-team OS candidate,llm,,420.423,1915,44590,46505,479,11148,11627,0.168657,proxy_estimate_chars_div_4,3.0,15.0,https://www.anthropic.com/claude/sonnet,14,15,15,12,10,12,8,9,
agentlas_claude,claude-sonnet-4-6,Claude Code / Sonnet 4.6,P03,P03_DISASTER_DRONE_SWARM_AGENT,98,Production-grade agent-team OS candidate,llm,,379.489,1963,47487,49450,491,11872,12363,0.179553,proxy_estimate_chars_div_4,3.0,15.0,https://www.anthropic.com/claude/sonnet,15,15,15,12,10,12,10,9,
agentlas_claude,claude-sonnet-4-6,Claude Code / Sonnet 4.6,P04,P04_FILM_STUDIO_AGENT,96,Production-grade agent-team OS candidate,llm,,307.096,1972,37539,39511,493,9385,9878,0.142254,proxy_estimate_chars_div_4,3.0,15.0,https://www.anthropic.com/claude/sonnet,15,15,15,12,10,12,8,9,
agentlas_claude,claude-sonnet-4-6,Claude Code / Sonnet 4.6,P05,P05_MARKETING_AGENCY_AGENT,96,Production-grade agent-team OS candidate,llm,,446.811,1946,44193,46139,486,11048,11534,0.167178,proxy_estimate_chars_div_4,3.0,15.0,https://www.anthropic.com/claude/sonnet,15,15,15,12,10,12,8,9,
agentlas_claude,claude-sonnet-4-6,Claude Code / Sonnet 4.6,P06,P06_ENTERPRISE_SOFTWARE_HQ_AGENT,96,Production-grade agent-team OS candidate,llm,,358.116,1983,32257,34240,496,8064,8560,0.122448,proxy_estimate_chars_div_4,3.0,15.0,https://www.anthropic.com/claude/sonnet,15,15,15,12,10,12,8,9,
agentlas_claude,claude-sonnet-4-6,Claude Code / Sonnet 4.6,P07,P07_HOSPITAL_OPERATIONS_AGENT,96,Production-grade agent-team OS candidate,llm,,309.451,1939,39750,41689,485,9938,10423,0.150525,proxy_estimate_chars_div_4,3.0,15.0,https://www.anthropic.com/claude/sonnet,15,15,15,12,10,12,8,9,
agentlas_claude,claude-sonnet-4-6,Claude Code / Sonnet 4.6,P08,P08_SUPPLY_CHAIN_CONTROL_TOWER_AGENT,96,Production-grade agent-team OS candidate,llm,,351.735,1942,39575,41517,486,9894,10380,0.149868,proxy_estimate_chars_div_4,3.0,15.0,https://www.anthropic.com/claude/sonnet,15,15,15,12,10,12,8,9,
agentlas_claude,claude-sonnet-4-6,Claude Code / Sonnet 4.6,P09,P09_SOC_THREAT_RESPONSE_AGENT,95,Production-grade agent-team OS candidate,llm,,319.2,1904,34231,36135,476,8558,9034,0.129798,proxy_estimate_chars_div_4,3.0,15.0,https://www.anthropic.com/claude/sonnet,14,15,15,12,10,12,8,9,
agentlas_codex,gpt-5.5,Codex CLI / GPT-5.5,P01,P01_INVESTMENT_FUND_AGENT,96,Production-grade agent-team OS candidate,llm,,68.048,5229,15765,20994,1307,3941,5248,0.124765,proxy_estimate_chars_div_4,5.0,30.0,https://openai.com/index/introducing-gpt-5-5/,15,15,15,12,10,12,8,9,
agentlas_codex,gpt-5.5,Codex CLI / GPT-5.5,P02,P02_AML_FRAUD_INVESTIGATION_AGENT,95,Production-grade agent-team OS candidate,llm,,55.406,5166,11901,17067,1292,2975,4267,0.095710,proxy_estimate_chars_div_4,5.0,30.0,https://openai.com/index/introducing-gpt-5-5/,14,15,15,12,10,12,8,9,
agentlas_codex,gpt-5.5,Codex CLI / GPT-5.5,P03,P03_DISASTER_DRONE_SWARM_AGENT,98,Production-grade agent-team OS candidate,llm,,71.176,5214,15438,20652,1304,3860,5164,0.122320,proxy_estimate_chars_div_4,5.0,30.0,https://openai.com/index/introducing-gpt-5-5/,15,15,15,12,10,12,10,9,
agentlas_codex,gpt-5.5,Codex CLI / GPT-5.5,P04,P04_FILM_STUDIO_AGENT,96,Production-grade agent-team OS candidate,llm,,45.011,5223,9638,14861,1306,2410,3716,0.078830,proxy_estimate_chars_div_4,5.0,30.0,https://openai.com/index/introducing-gpt-5-5/,15,15,15,12,10,12,8,9,
agentlas_codex,gpt-5.5,Codex CLI / GPT-5.5,P05,P05_MARKETING_AGENCY_AGENT,96,Production-grade agent-team OS candidate,llm,,89.708,5197,13813,19010,1299,3453,4752,0.110085,proxy_estimate_chars_div_4,5.0,30.0,https://openai.com/index/introducing-gpt-5-5/,15,15,15,12,10,12,8,9,
agentlas_codex,gpt-5.5,Codex CLI / GPT-5.5,P06,P06_ENTERPRISE_SOFTWARE_HQ_AGENT,96,Production-grade agent-team OS candidate,llm,,42.682,5234,7988,13222,1308,1997,3305,0.066450,proxy_estimate_chars_div_4,5.0,30.0,https://openai.com/index/introducing-gpt-5-5/,15,15,15,12,10,12,8,9,
agentlas_codex,gpt-5.5,Codex CLI / GPT-5.5,P07,P07_HOSPITAL_OPERATIONS_AGENT,96,Production-grade agent-team OS candidate,llm,,76.713,5190,18096,23286,1298,4524,5822,0.142210,proxy_estimate_chars_div_4,5.0,30.0,https://openai.com/index/introducing-gpt-5-5/,15,15,15,12,10,12,8,9,
agentlas_codex,gpt-5.5,Codex CLI / GPT-5.5,P08,P08_SUPPLY_CHAIN_CONTROL_TOWER_AGENT,96,Production-grade agent-team OS candidate,llm,,84.051,5193,19585,24778,1298,4896,6194,0.153370,proxy_estimate_chars_div_4,5.0,30.0,https://openai.com/index/introducing-gpt-5-5/,15,15,15,12,10,12,8,9,
agentlas_codex,gpt-5.5,Codex CLI / GPT-5.5,P09,P09_SOC_THREAT_RESPONSE_AGENT,95,Production-grade agent-team OS candidate,llm,,73.839,5155,9542,14697,1289,2386,3675,0.078025,proxy_estimate_chars_div_4,5.0,30.0,https://openai.com/index/introducing-gpt-5-5/,14,15,15,12,10,12,8,9,
agentlas_gemini,gemini-3-flash-preview,Gemini CLI / 3 Flash,P01,P01_INVESTMENT_FUND_AGENT,93,Production-grade agent-team OS candidate,llm,,81.399,5229,20461,25690,1307,5115,6422,0.015998,proxy_estimate_chars_div_4,0.5,3.0,https://ai.google.dev/gemini-api/docs/pricing,14,15,15,10,10,12,8,9,
agentlas_gemini,gemini-3-flash-preview,Gemini CLI / 3 Flash,P02,P02_AML_FRAUD_INVESTIGATION_AGENT,93,Production-grade agent-team OS candidate,llm,,53.518,5166,13754,18920,1292,3438,4730,0.010960,proxy_estimate_chars_div_4,0.5,3.0,https://ai.google.dev/gemini-api/docs/pricing,14,15,15,10,10,12,8,9,
agentlas_gemini,gemini-3-flash-preview,Gemini CLI / 3 Flash,P03,P03_DISASTER_DRONE_SWARM_AGENT,96,Production-grade agent-team OS candidate,llm,,53.733,5214,11851,17065,1304,2963,4267,0.009541,proxy_estimate_chars_div_4,0.5,3.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,10,10,12,10,9,
agentlas_gemini,gemini-3-flash-preview,Gemini CLI / 3 Flash,P04,P04_FILM_STUDIO_AGENT,94,Production-grade agent-team OS candidate,llm,,75.555,5223,11018,16241,1306,2754,4060,0.008915,proxy_estimate_chars_div_4,0.5,3.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,10,10,12,8,9,
agentlas_gemini,gemini-3-flash-preview,Gemini CLI / 3 Flash,P05,P05_MARKETING_AGENCY_AGENT,94,Production-grade agent-team OS candidate,llm,,71.138,5197,14553,19750,1299,3638,4937,0.011564,proxy_estimate_chars_div_4,0.5,3.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,10,10,12,8,9,
agentlas_gemini,gemini-3-flash-preview,Gemini CLI / 3 Flash,P06,P06_ENTERPRISE_SOFTWARE_HQ_AGENT,94,Production-grade agent-team OS candidate,llm,,81.659,5234,8832,14066,1308,2208,3516,0.007278,proxy_estimate_chars_div_4,0.5,3.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,10,10,12,8,9,
agentlas_gemini,gemini-3-flash-preview,Gemini CLI / 3 Flash,P07,P07_HOSPITAL_OPERATIONS_AGENT,96,Production-grade agent-team OS candidate,llm,,44.486,5190,7729,12919,1298,1932,3230,0.006445,proxy_estimate_chars_div_4,0.5,3.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,12,10,12,8,9,
agentlas_gemini,gemini-3-flash-preview,Gemini CLI / 3 Flash,P08,P08_SUPPLY_CHAIN_CONTROL_TOWER_AGENT,94,Production-grade agent-team OS candidate,llm,,34.622,5193,9019,14212,1298,2255,3553,0.007414,proxy_estimate_chars_div_4,0.5,3.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,10,10,12,8,9,
agentlas_gemini,gemini-3-flash-preview,Gemini CLI / 3 Flash,P09,P09_SOC_THREAT_RESPONSE_AGENT,93,Production-grade agent-team OS candidate,llm,,95.893,5155,21678,26833,1289,5420,6709,0.016904,proxy_estimate_chars_div_4,0.5,3.0,https://ai.google.dev/gemini-api/docs/pricing,14,15,15,10,10,12,8,9,
agentlas_gemini,gemini-3.1-pro-preview,Gemini CLI / 3.1 Pro,P01,P01_INVESTMENT_FUND_AGENT,95,Production-grade agent-team OS candidate,llm,,42.197,5229,7530,12759,1307,1882,3189,0.025198,proxy_estimate_chars_div_4,2.0,12.0,https://ai.google.dev/gemini-api/docs/pricing,14,15,15,12,10,12,8,9,
agentlas_gemini,gemini-3.1-pro-preview,Gemini CLI / 3.1 Pro,P02,P02_AML_FRAUD_INVESTIGATION_AGENT,96,Production-grade agent-team OS candidate,llm,,38.574,5166,7712,12878,1292,1928,3220,0.025720,proxy_estimate_chars_div_4,2.0,12.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,12,10,12,8,9,
agentlas_gemini,gemini-3.1-pro-preview,Gemini CLI / 3.1 Pro,P03,P03_DISASTER_DRONE_SWARM_AGENT,98,Production-grade agent-team OS candidate,llm,,42.354,5214,6481,11695,1304,1620,2924,0.022048,proxy_estimate_chars_div_4,2.0,12.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,12,10,12,10,9,
agentlas_gemini,gemini-3.1-pro-preview,Gemini CLI / 3.1 Pro,P04,P04_FILM_STUDIO_AGENT,96,Production-grade agent-team OS candidate,llm,,42.611,5223,5199,10422,1306,1300,2606,0.018212,proxy_estimate_chars_div_4,2.0,12.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,12,10,12,8,9,
agentlas_gemini,gemini-3.1-pro-preview,Gemini CLI / 3.1 Pro,P05,P05_MARKETING_AGENCY_AGENT,96,Production-grade agent-team OS candidate,llm,,49.597,5197,6158,11355,1299,1540,2839,0.021078,proxy_estimate_chars_div_4,2.0,12.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,12,10,12,8,9,
agentlas_gemini,gemini-3.1-pro-preview,Gemini CLI / 3.1 Pro,P06,P06_ENTERPRISE_SOFTWARE_HQ_AGENT,96,Production-grade agent-team OS candidate,llm,,35.607,5234,7463,12697,1308,1866,3174,0.025008,proxy_estimate_chars_div_4,2.0,12.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,12,10,12,8,9,
agentlas_gemini,gemini-3.1-pro-preview,Gemini CLI / 3.1 Pro,P07,P07_HOSPITAL_OPERATIONS_AGENT,96,Production-grade agent-team OS candidate,llm,,40.525,5190,5758,10948,1298,1440,2738,0.019876,proxy_estimate_chars_div_4,2.0,12.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,12,10,12,8,9,
agentlas_gemini,gemini-3.1-pro-preview,Gemini CLI / 3.1 Pro,P08,P08_SUPPLY_CHAIN_CONTROL_TOWER_AGENT,96,Production-grade agent-team OS candidate,llm,,41.578,5193,6877,12070,1298,1719,3017,0.023224,proxy_estimate_chars_div_4,2.0,12.0,https://ai.google.dev/gemini-api/docs/pricing,15,15,15,12,10,12,8,9,
agentlas_gemini,gemini-3.1-pro-preview,Gemini CLI / 3.1 Pro,P09,P09_SOC_THREAT_RESPONSE_AGENT,95,Production-grade agent-team OS candidate,llm,,39.61,5155,7034,12189,1289,1758,3047,0.023674,proxy_estimate_chars_div_4,2.0,12.0,https://ai.google.dev/gemini-api/docs/pricing,14,15,15,12,10,12,8,9,
agentlas_upstage,solar-pro2,Upstage CLI / Solar Pro 2,P01,P01_INVESTMENT_FUND_AGENT,95,Production-grade agent-team OS candidate,llm,,11.058,5229,6599,11828,1307,1650,2957,0.001186,proxy_estimate_chars_div_4,0.15,0.6,https://www.upstage.ai/pricing,14,15,15,12,10,12,8,9,
agentlas_upstage,solar-pro2,Upstage CLI / Solar Pro 2,P02,P02_AML_FRAUD_INVESTIGATION_AGENT,95,Production-grade agent-team OS candidate,llm,,10.92,5166,6764,11930,1292,1691,2983,0.001208,proxy_estimate_chars_div_4,0.15,0.6,https://www.upstage.ai/pricing,14,15,15,12,10,12,8,9,
agentlas_upstage,solar-pro2,Upstage CLI / Solar Pro 2,P03,P03_DISASTER_DRONE_SWARM_AGENT,98,Production-grade agent-team OS candidate,llm,,10.381,5214,6330,11544,1304,1582,2886,0.001145,proxy_estimate_chars_div_4,0.15,0.6,https://www.upstage.ai/pricing,15,15,15,12,10,12,10,9,
agentlas_upstage,solar-pro2,Upstage CLI / Solar Pro 2,P04,P04_FILM_STUDIO_AGENT,96,Production-grade agent-team OS candidate,llm,,8.204,5223,4997,10220,1306,1249,2555,0.000945,proxy_estimate_chars_div_4,0.15,0.6,https://www.upstage.ai/pricing,15,15,15,12,10,12,8,9,
agentlas_upstage,solar-pro2,Upstage CLI / Solar Pro 2,P05,P05_MARKETING_AGENCY_AGENT,96,Production-grade agent-team OS candidate,llm,,9.467,5197,5587,10784,1299,1397,2696,0.001033,proxy_estimate_chars_div_4,0.15,0.6,https://www.upstage.ai/pricing,15,15,15,12,10,12,8,9,
agentlas_upstage,solar-pro2,Upstage CLI / Solar Pro 2,P06,P06_ENTERPRISE_SOFTWARE_HQ_AGENT,96,Production-grade agent-team OS candidate,llm,,8.403,5234,5154,10388,1308,1288,2596,0.000969,proxy_estimate_chars_div_4,0.15,0.6,https://www.upstage.ai/pricing,15,15,15,12,10,12,8,9,
agentlas_upstage,solar-pro2,Upstage CLI / Solar Pro 2,P07,P07_HOSPITAL_OPERATIONS_AGENT,96,Production-grade agent-team OS candidate,llm,,9.877,5190,6424,11614,1298,1606,2904,0.001158,proxy_estimate_chars_div_4,0.15,0.6,https://www.upstage.ai/pricing,15,15,15,12,10,12,8,9,
agentlas_upstage,solar-pro2,Upstage CLI / Solar Pro 2,P08,P08_SUPPLY_CHAIN_CONTROL_TOWER_AGENT,96,Production-grade agent-team OS candidate,llm,,9.774,5193,6203,11396,1298,1551,2849,0.001125,proxy_estimate_chars_div_4,0.15,0.6,https://www.upstage.ai/pricing,15,15,15,12,10,12,8,9,
agentlas_upstage,solar-pro2,Upstage CLI / Solar Pro 2,P09,P09_SOC_THREAT_RESPONSE_AGENT,95,Production-grade agent-team OS candidate,llm,,9.999,5155,5990,11145,1289,1498,2787,0.001092,proxy_estimate_chars_div_4,0.15,0.6,https://www.upstage.ai/pricing,14,15,15,12,10,12,8,9,
